h_position_x,h_position_y,h_position_z,h_orientation_x,h_orientation_y,h_orientation_z,h_orientation_w,e_position_x,e_position_y,e_position_z,e_orientation_x,e_orientation_y,e_orientation_z,e_orientation_w,stamp,gripper_state
-0.776116698850055,-0.0615798118001237,-0.0895165581037878,0.691378,-0.048388,-0.001595,-0.720869,-0.464429745574611,0.0703106268948024,-0.144207117394905,0.691378,-0.048388,-0.001595,-0.720869,22,0.145
-0.776048062313526,-0.0617248994111846,-0.0894831246096562,0.691344,-0.048178,-0.001824,-0.720916,-0.464421543153937,0.0702021546603706,-0.144252841853112,0.691344,-0.048178,-0.001824,-0.720916,23,0.145
-0.775952137257734,-0.0617439309412366,-0.0895469633487703,0.691279,-0.048386,-0.001607,-0.720964,-0.464389916169239,0.0702902685961444,-0.144214746026821,0.691279,-0.048386,-0.001607,-0.720964,24,0.145
-0.775895277550455,-0.0618462649729907,-0.0895162838780062,0.691198,-0.048474,-0.001587,-0.721036,-0.464394389904768,0.0702674474206785,-0.14414623712882,0.691198,-0.048474,-0.001587,-0.721036,25,0.145
-0.775814397543299,-0.0619643016276357,-0.08953381153756,0.691102,-0.048609,-0.001489,-0.72112,-0.464377761048062,0.0702551191086098,-0.144077742411502,0.691102,-0.048609,-0.001489,-0.72112,26,0.145
-0.775720132361185,-0.0621427316105421,-0.0895537382569268,0.690981,-0.048663,-0.001471,-0.721231,-0.464358918452198,0.0702007841594937,-0.14402371759603,0.690981,-0.048663,-0.001471,-0.721231,27,0.145
-0.775648293276165,-0.0621575982908698,-0.0895038031150741,0.690961,-0.048718,-0.001502,-0.721247,-0.464320833938627,0.0702390950336969,-0.143924728885427,0.690961,-0.048718,-0.001502,-0.721247,28,0.145
-0.775540742210095,-0.062455331994998,-0.0894636354262503,0.690885,-0.048324,-0.001929,-0.721346,-0.464286272936702,0.0699936514675022,-0.143962375553465,0.690885,-0.048324,-0.001929,-0.721346,29,0.145
-0.77542039041397,-0.0626368860006119,-0.0894386445603324,0.690805,-0.048311,-0.002001,-0.721423,-0.464245408607656,0.069903495883464,-0.143893979585875,0.690805,-0.048311,-0.002001,-0.721423,30,0.145
-0.775316478647301,-0.0629083449396475,-0.0895115421400344,0.69067,-0.048412,-0.001909,-0.721545,-0.464218409394659,0.06981657262531,-0.143837391497178,0.69067,-0.048412,-0.001909,-0.721545,31,0.145
-0.775222885317609,-0.0629826525577614,-0.0895372745849159,0.69053,-0.048966,-0.001427,-0.721642,-0.464200380718351,0.069968368607613,-0.143628355666327,0.69053,-0.048966,-0.001427,-0.721642,32,0.145
-0.775135660160113,-0.0631198627612833,-0.0896731279052539,0.690446,-0.049219,-0.001147,-0.721706,-0.464172299683823,0.0700384605827788,-0.143572932074649,0.690446,-0.049219,-0.001147,-0.721706,33,0.145
-0.775061787455462,-0.0634442498137248,-0.0895236313715745,0.690464,-0.048606,-0.001829,-0.72173,-0.46414249659187,0.0697590729540951,-0.143613082266323,0.690464,-0.048606,-0.001829,-0.72173,34,0.145
-0.77498663127349,-0.0636146294503764,-0.0895886277001439,0.690401,-0.04876,-0.001676,-0.72178,-0.464116708718975,0.0697734958115559,-0.143547200601977,0.690401,-0.04876,-0.001676,-0.72178,35,0.145
-0.774931912500097,-0.06365791076783,-0.0895880457762737,0.690374,-0.049032,-0.001446,-0.721788,-0.464094580558179,0.069902474277096,-0.143417888633023,0.690374,-0.049032,-0.001446,-0.721788,36,0.145
-0.774898700751073,-0.0637000185373485,-0.089711051732537,0.690328,-0.049398,-0.001048,-0.721807,-0.464081473196262,0.0700643870952137,-0.143315628485145,0.690328,-0.049398,-0.001048,-0.721807,37,0.145
-0.774875538028042,-0.0638156122831634,-0.0896181531628032,0.690354,-0.049154,-0.001351,-0.721799,-0.464083326322644,0.070000980982977,-0.143298095859243,0.690354,-0.049154,-0.001351,-0.721799,38,0.145
-0.774825992869248,-0.0638190590080003,-0.0897307236075367,0.690307,-0.049568,-0.000913,-0.721816,-0.464053211012556,0.0701522991572284,-0.143199646928342,0.690307,-0.049568,-0.000913,-0.721816,39,0.145
-0.774837247851383,-0.0638173444950211,-0.0895561590654654,0.690353,-0.049502,-0.001122,-0.721776,-0.464067871659364,0.0701563463883043,-0.143104774067195,0.690353,-0.049502,-0.001122,-0.721776,40,0.145
-0.774835440584486,-0.0638679938780717,-0.0895918859619293,0.690307,-0.049613,-0.001027,-0.721812,-0.46408002027056,0.0701741204841919,-0.143077553019585,0.690307,-0.049613,-0.001027,-0.721812,41,0.145
-0.774845383556389,-0.0638514343352004,-0.0895974895558228,0.690315,-0.049645,-0.001016,-0.721803,-0.464087071118029,0.0701798772403246,-0.143079618804194,0.690315,-0.049645,-0.001016,-0.721803,42,0.145
-0.774883548866222,-0.0637992308640354,-0.0896249225006896,0.690351,-0.049436,-0.001212,-0.721783,-0.46408351601183,0.0701356304902897,-0.14316951579733,0.690351,-0.049436,-0.001212,-0.721783,43,0.145
-0.774899879891771,-0.0637175529373014,-0.0896500008088341,0.690366,-0.049385,-0.001274,-0.721772,-0.464101498307537,0.0701465478351627,-0.143222665248061,0.690366,-0.049385,-0.001274,-0.721772,44,0.145
-0.77492584944751,-0.0637550507327563,-0.0896184084008661,0.690362,-0.049152,-0.001557,-0.72179,-0.464119750356344,0.0700078981346602,-0.143322323251218,0.690362,-0.049152,-0.001557,-0.72179,45,0.145
-0.774948369433765,-0.0636953993188365,-0.0895852274172764,0.690288,-0.049465,-0.001338,-0.721841,-0.464168292576179,0.0700798439728965,-0.143255429836793,0.690288,-0.049465,-0.001338,-0.721841,46,0.145
-0.77495127938205,-0.0638365848544763,-0.0895151753522125,0.690275,-0.04897,-0.001885,-0.721886,-0.464193087477147,0.0698264207543301,-0.143409532634589,0.690275,-0.04897,-0.001885,-0.721886,47,0.145
-0.774954831727086,-0.0639249388595882,-0.0895712668784025,0.690171,-0.049051,-0.001826,-0.72198,-0.464232603961736,0.0697633681935069,-0.143482971901633,0.690171,-0.049051,-0.001826,-0.72198,48,0.145
-0.774961810415639,-0.0639541464021902,-0.0894905170018859,0.690107,-0.04903,-0.001963,-0.722042,-0.464239421085854,0.0696948192485823,-0.143525769533304,0.690107,-0.04903,-0.001963,-0.722042,49,0.145
-0.774962498293411,-0.0639338023453557,-0.0895707854841233,0.690015,-0.049349,-0.001676,-0.722109,-0.464233476457944,0.069743033610033,-0.143557528603707,0.690015,-0.049349,-0.001676,-0.722109,50,0.145
-0.774965248442087,-0.063876137661737,-0.0895572855665525,0.689943,-0.049612,-0.001509,-0.72216,-0.464219367921689,0.0697807577084018,-0.143554400080337,0.689943,-0.049612,-0.001509,-0.72216,51,0.145
-0.774959190523056,-0.0639649774330761,-0.0897850024907773,0.689828,-0.04974,-0.00131,-0.722262,-0.46422071782396,0.0696436068894796,-0.143751813375209,0.689828,-0.04974,-0.00131,-0.722262,52,0.145
-0.774950265428473,-0.0640043171814681,-0.0898743328184776,0.689756,-0.04981,-0.001272,-0.722325,-0.464198789292747,0.0695822224947022,-0.143835116164697,0.689756,-0.04981,-0.001272,-0.722325,53,0.145
-0.774958436023826,-0.0640077173835499,-0.0899823853207749,0.689649,-0.050163,-0.000967,-0.722404,-0.464197076731718,0.0696260508497834,-0.143824501919641,0.689649,-0.050163,-0.000967,-0.722404,54,0.145
-0.774952788168333,-0.0640578422835332,-0.0901107027446852,0.689609,-0.050035,-0.001093,-0.722451,-0.464155462171235,0.069517735322079,-0.143944872680491,0.689609,-0.050035,-0.001093,-0.722451,55,0.145
-0.774954959832808,-0.0641745376900896,-0.0902401085750071,0.689533,-0.049981,-0.001154,-0.722527,-0.464134801507016,0.0693886312627358,-0.1440260551132,0.689533,-0.049981,-0.001154,-0.722527,56,0.145
-0.774919015227733,-0.0642195697872648,-0.0903309301160094,0.689473,-0.049984,-0.001187,-0.722584,-0.464085992260333,0.0693300030246892,-0.14405148859113,0.689473,-0.049984,-0.001187,-0.722584,57,0.145
