position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,stamp,gripper_state
-0.499400,-0.397039,1.172727,-0.715054,0.064899,-0.108850,0.687487,651710321.000000,0.145000
-0.499339,-0.397021,1.171467,-0.715466,0.065550,-0.108213,0.687096,658971951.000000,0.145000
-0.499285,-0.397178,1.170393,-0.715126,0.066288,-0.107614,0.687474,667103044.000000,0.145000
-0.499276,-0.397143,1.170151,-0.715214,0.066388,-0.107451,0.687398,668395807.000000,0.145000
-0.499230,-0.396960,1.168878,-0.715680,0.066916,-0.106588,0.686996,675218439.000000,0.145000
-0.499196,-0.396928,1.167603,-0.715842,0.067520,-0.105831,0.686885,683870455.000000,0.145000
-0.499188,-0.396942,1.167427,-0.715899,0.067612,-0.105783,0.686824,685053875.000000,0.145000
-0.499139,-0.397024,1.166385,-0.716235,0.068159,-0.105502,0.686462,692078338.000000,0.145000
-0.499135,-0.397001,1.166168,-0.716271,0.068252,-0.105342,0.686441,693400671.000000,0.145000
-0.499114,-0.396891,1.165117,-0.716441,0.068704,-0.104565,0.686336,699804770.000000,0.145000
-0.499099,-0.396868,1.164008,-0.716869,0.069018,-0.104259,0.685905,709566052.000000,0.145000
-0.499067,-0.396821,1.162810,-0.717081,0.069476,-0.103679,0.685725,717607407.000000,0.145000
-0.499067,-0.396817,1.162679,-0.717103,0.069573,-0.103583,0.685707,718390514.000000,0.145000
-0.499070,-0.396784,1.161489,-0.717300,0.070459,-0.102718,0.685541,725481160.000000,0.145000
-0.499076,-0.396752,1.161357,-0.717352,0.070414,-0.102669,0.685498,726699878.000000,0.145000
-0.499114,-0.396543,1.160487,-0.717696,0.070122,-0.102339,0.685216,734748817.000000,0.145000
-0.499115,-0.396541,1.160433,-0.717714,0.070145,-0.102312,0.685199,735093643.000000,0.145000
-0.499120,-0.396511,1.159275,-0.718099,0.070635,-0.101726,0.684833,742476531.000000,0.145000
-0.499122,-0.396506,1.159136,-0.718132,0.070703,-0.101654,0.684802,743336488.000000,0.145000
-0.499140,-0.396466,1.158075,-0.718384,0.071222,-0.101106,0.684565,749885153.000000,0.145000
-0.499139,-0.396454,1.157088,-0.718847,0.071540,-0.100766,0.684096,760016014.000000,0.145000
-0.499180,-0.396377,1.155841,-0.719284,0.071984,-0.100213,0.683671,767527378.000000,0.145000
-0.499181,-0.396363,1.155733,-0.719338,0.072000,-0.100160,0.683620,768333008.000000,0.145000
-0.499186,-0.396228,1.154748,-0.719828,0.072142,-0.099682,0.683159,775684194.000000,0.145000
-0.499193,-0.396208,1.154606,-0.719867,0.072184,-0.099596,0.683126,776689579.000000,0.145000
-0.499241,-0.396071,1.153640,-0.720130,0.072468,-0.099009,0.682904,783550671.000000,0.145000
-0.499248,-0.396026,1.153424,-0.720192,0.072532,-0.098812,0.682860,785088588.000000,0.145000
-0.499284,-0.395807,1.152372,-0.720495,0.072841,-0.097854,0.682647,792565822.000000,0.145000
-0.499290,-0.395786,1.152253,-0.720542,0.072871,-0.097771,0.682605,793360998.000000,0.145000
-0.499346,-0.395606,1.151228,-0.720952,0.073130,-0.097058,0.682246,800227902.000000,0.145000
-0.499359,-0.395581,1.151007,-0.721035,0.073208,-0.096896,0.682173,801810314.000000,0.145000
-0.499413,-0.395473,1.150064,-0.721389,0.073541,-0.096204,0.681861,808564545.000000,0.145000
-0.499428,-0.395452,1.149841,-0.721487,0.073619,-0.096041,0.681772,810120632.000000,0.145000
-0.499493,-0.395359,1.148876,-0.721908,0.073955,-0.095337,0.681388,816850266.000000,0.145000
-0.499516,-0.395292,1.148650,-0.721986,0.073986,-0.095087,0.681338,818455030.000000,0.145000
-0.499621,-0.394988,1.147629,-0.722332,0.074125,-0.093961,0.681112,825686563.000000,0.145000
-0.499637,-0.394971,1.147492,-0.722368,0.074168,-0.093860,0.681083,826713373.000000,0.145000
-0.499743,-0.394855,1.146551,-0.722612,0.074464,-0.093172,0.680886,833750599.000000,0.145000
-0.499759,-0.394835,1.146378,-0.722662,0.074523,-0.093023,0.680847,835073520.000000,0.145000
-0.499845,-0.394727,1.145427,-0.722939,0.074848,-0.092204,0.680628,842332914.000000,0.145000
-0.499860,-0.394728,1.145272,-0.722988,0.074918,-0.092104,0.680582,843381693.000000,0.145000
-0.499954,-0.394734,1.144292,-0.723297,0.075361,-0.091468,0.680290,850008458.000000,0.145000
-0.499997,-0.394654,1.144075,-0.723343,0.075355,-0.091226,0.680275,851704885.000000,0.145000
-0.500166,-0.394342,1.143230,-0.723522,0.075334,-0.090283,0.680213,858319349.000000,0.145000
-0.500295,-0.394273,1.142232,-0.723881,0.075590,-0.089596,0.679894,867218790.000000,0.145000
-0.500410,-0.394326,1.141185,-0.724207,0.075968,-0.089006,0.679581,875635061.000000,0.145000
-0.500433,-0.394308,1.141046,-0.724241,0.075998,-0.088890,0.679557,876709511.000000,0.145000
-0.500587,-0.394191,1.140118,-0.724469,0.076201,-0.088112,0.679393,883894927.000000,0.145000
-0.500620,-0.394166,1.139968,-0.724502,0.076229,-0.087987,0.679370,885112573.000000,0.145000
-0.500798,-0.394028,1.139146,-0.724687,0.076383,-0.087296,0.679245,891812876.000000,0.145000
-0.500910,-0.394073,1.138312,-0.724837,0.076781,-0.086811,0.679102,901724865.000000,0.145000
-0.500927,-0.394079,1.138189,-0.724859,0.076840,-0.086740,0.679081,903180443.000000,0.145000
-0.501027,-0.394233,1.137372,-0.725006,0.077331,-0.086422,0.678909,910078813.000000,0.145000
-0.501160,-0.394457,1.136146,-0.725380,0.078096,-0.086001,0.678475,918068260.000000,0.145000
